canonicalsmiles,mw,xlogp,polararea,rotbonds,hbonddonor,hbondacc,charge,anti_inflammatory
C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,306.27,0.4,81.6,5,1,7,0,0
C1=CC(=CC=C1N)S(=O)(=O)N,172.21,-0.6,94.6,1,2,4,0,0
CN1C2=C(C(=O)N(C1=O)C)NC=N2,180.16,0.0,69.3,0,1,3,0,0
C(CS(=O)(=O)O)N,125.15,-4.1,88.8,2,2,4,0,0
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],323.13,1.1,115.0,5,3,5,0,0
C1=CC(=CC=C1CC(C(=O)O)N)O,181.19,-2.3,83.6,3,3,4,0,0
C1=CC=C(C=C1)C2=CC=CC=C2O,170.21,3.1,20.2,1,1,1,0,0
C1=CC(=C(C=C1CCN)O)O,153.18,-1.0,66.5,2,3,3,0,0
CN(C)C=O,73.09,-1.0,20.3,0,0,1,0,0
C(CCN)CN,88.15,-0.9,52.0,3,2,2,0,0
C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O,218.68,4.0,20.2,2,1,1,0,0
S,34.08,0.5,1.0,0,1,1,0,0
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,265.36,1.0,104.0,4,2,5,1,0
C(CC=O)CC=O,100.12,-0.5,34.1,4,0,2,0,0
CCN(CC)C(=S)SSC(=S)N(CC)CC,296.5,3.9,121.0,7,0,4,0,0
C1CCC(CC1)O,100.16,1.2,20.2,0,1,1,0,0
C(CC(=O)O)CC(=O)O,132.11,-0.3,74.6,4,2,4,0,0
C1=CC=C2C=CC=CC2=C1,128.169,3.3,0.0,0,0,0,0,0
C1=CC=C2C(=C1)NC(=S)S2,167.3,2.4,69.4,0,1,2,0,0
C1=CC=C2C(=C1)C=CC=C2O,144.17,2.8,20.2,0,1,1,0,0
