canonicalsmiles,mw,xlogp,polararea,rotbonds,hbonddonor,hbondacc,charge,anti_inflammatory
C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,244.2,-2.2,141.0,2,4,5,0,0
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,263.2,-1.5,108.0,2,3,6,0,0
CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,606.8,9.2,76.7,14,2,9,0,0
C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,340.4,2.6,118.0,10,4,4,0,0
CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,454.4,-1.8,211.0,9,5,12,0,0
C=CC1=CC=CC=C1,104.15,2.9,0.0,1,0,0,0,0
P,33.998,-0.1,0.0,0,0,0,0,0
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,346.3,2.2,110.0,5,1,7,0,0
CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,382.9,5.2,42.4,2,0,3,0,0
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,248.71,2.7,77.8,2,2,4,0,0
C1=CC=C2C(=C1)C=CC(=O)O2,146.14,1.4,26.3,0,0,2,0,0
C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,255.23,-2.5,135.0,5,4,6,0,0
C1=C(NC=N1)CCN,111.15,-0.7,54.7,2,2,2,0,0
CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,404.5,4.3,72.8,7,1,5,0,0
C1=CN=CC=C1N,94.11,0.3,38.9,0,1,2,0,0
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,253.28,0.9,107.0,3,2,6,0,0
C1=CC(=CC=C1CCN)O,137.18,1.1,46.2,2,2,2,0,0
C1=NNC2=C1C(=O)NC=N2,136.11,-0.7,70.1,0,2,3,0,0
C1=CC(=C(C(=C1)O)O)O,126.11,0.5,60.7,0,3,3,0,0
CC1=CC(=O)C2=CC=CC=C2C1=O,172.18,2.2,34.1,0,0,2,0,0
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,733.9,2.7,194.0,7,5,14,0,0
CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O,495.7,10.0,81.7,23,1,5,0,0
CC(C(C(=O)O)N)O,119.12,-2.9,83.6,2,3,4,0,0
COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,321.8,3.8,57.8,4,0,4,0,0
COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,372.4,3.0,72.4,6,0,7,0,0
C1OC2=C(O1)C=C(C=C2)O,138.12,1.2,38.7,0,1,3,0,0
CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,558.6,5.0,112.0,12,4,6,0,0
CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,268.3,5.1,40.5,4,2,2,0,0
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,319.9,4.6,28.2,8,1,3,0,0
CNCC(C1=CC=C(C=C1)O)O,167.2,-0.6,52.5,3,3,3,0,0
C1=CC=C(C=C1)NC2=CC=CC=C2,169.22,3.5,12.0,2,1,1,0,0
C1=CC=NC=C1,79.1,0.7,12.9,0,0,1,0,0
C1=CC=C(C=C1)N,93.13,0.9,26.0,0,1,1,0,0
CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,255.35,3.3,12.5,6,0,2,0,0
CCCC(CCC)C(=O)O,144.21,2.8,37.3,5,1,2,0,0
CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,263.4,4.5,12.0,3,1,1,0,0
C1=CC=C(C=C1)C#N,103.12,1.6,23.8,0,0,1,0,0
C1=CC=C2C(=C1)C(=CN2)CC(=O)O,175.18,1.4,53.1,2,2,2,0,0
CC(=CCC1=C(C=CC2=C1OC(=O)C=C2)OC)C,244.28,3.8,35.5,3,0,3,0,0
C1=CC2=C(C=CO2)C3=C1C=CC(=O)O3,186.16,2.0,39.4,0,0,3,0,0
CC(=O)NC(CS)C(=O)O,163.2,0.4,67.4,3,3,4,0,0
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,300.4,6.3,37.3,5,1,2,0,0
CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,306.2,4.8,12.0,2,1,1,0,0
CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,407.5,5.0,35.0,4,0,7,0,0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,267.24,-1.1,140.0,2,4,8,0,0
CC1=C(C=CC2=C1OC(=O)C(=C2O)NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)OC4C(C(C(C(O4)(C)C)OC)OC(=O)N)O,612.6,3.3,196.0,9,5,11,0,0
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,454.6,3.8,64.0,13,0,6,0,0
CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,477.0,5.0,43.8,7,1,3,0,0
CC(C)(C1=CC=CC=C1)O,136.19,1.8,20.2,1,1,1,0,0
CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,334.4,1.8,112.0,4,2,5,0,0
C(CN)C#N,70.09,-1.0,49.8,1,1,2,0,0
C1CCNC(C1)C2=CN=CC=C2,162.23,1.0,24.9,1,1,2,0,0
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,734.0,13.5,111.0,40,0,8,0,0
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,242.23,-1.2,99.1,2,3,5,0,0
CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,418.6,4.7,72.8,7,1,5,0,0
C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,269.12,4.3,40.5,2,2,2,0,0
CC(=O)NC1=CC=C(C=C1)O,151.16,0.5,49.3,1,2,2,0,0
CS(=O)C,78.14,-0.6,36.3,0,0,2,0,0
CC1=CC=CC=C1O,108.14,2.0,20.2,0,1,1,0,0
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],267.24,0.0,93.2,3,2,6,0,0
C(CBr)Br,187.86,2.0,0.0,1,0,0,0,0
C(#N)N,42.04,-0.3,49.8,0,1,2,0,0
CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,275.35,0.7,44.8,2,1,4,0,0
C(C(C(C(C(CO)O)O)O)O)O,182.17,-3.1,121.0,5,6,6,0,0
COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC,394.5,1.0,51.2,2,0,5,0,0
CC1=CCC(CC1)C(=C)C,136.23,3.4,0.0,1,0,0,0,0
CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,337.35,0.7,71.1,4,1,6,0,0
CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.7,3.3,35.5,5,0,3,0,0
C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12,0.7,98.0,1,4,5,0,0
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,399.4,1.0,83.1,5,1,6,0,0
CC(C)CC(C(=O)O)N,131.17,-1.5,63.3,3,2,3,0,0
C1C=C2C(=CC(=O)O2)C(O1)O,154.12,-1.0,55.8,0,1,4,0,0
C1=CC(=CC=C1C(=O)O)C(=O)O,166.13,2.0,74.6,2,2,4,0,0
CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O,347.4,0.6,138.0,4,3,6,0,0
CN(C)C,59.11,0.3,3.2,0,0,1,0,0
C1=CC=C(C(=C1)C(=O)O)N,137.14,1.2,63.3,1,2,3,0,0
CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],275.19,2.0,90.6,6,0,6,0,0
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,349.4,-1.1,138.0,4,3,6,0,0
C1=CN=C(C=N1)C(=O)N,123.11,-0.6,68.9,1,1,3,0,0
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,361.4,-0.4,73.3,2,1,8,0,0
CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,428.5,4.1,87.1,7,1,5,0,0
CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,261.25,2.9,57.6,1,1,5,0,0
C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,285.3,2.7,78.3,3,0,4,0,0
CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,232.23,1.4,70.5,2,1,5,0,0
CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,278.33,0.3,106.0,3,2,6,0,0
CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,349.31,1.5,76.7,5,1,8,0,0
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,748.0,3.2,183.0,8,4,14,0,0
CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,326.4,6.1,46.5,6,1,3,0,0
CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,383.5,-2.4,136.0,5,3,7,0,0
C1=NC(=O)NC(=C1F)N,129.09,-0.9,67.5,0,2,3,0,0
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,361.4,-0.4,73.3,2,1,8,0,0
C[N+](C)(C)CC(CC(=O)[O-])O,161.2,-0.2,60.4,3,1,3,0,0
C1CCC(CC1)N,99.17,1.5,26.0,0,1,1,0,0
CC(CS)C(=O)N1CCCC1C(=O)O,217.29,0.3,58.6,3,2,4,0,0
C(CCCC(=O)O)CCCC(=O)O,188.22,1.6,74.6,8,2,4,0,0
C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,327.12,4.0,95.2,2,2,4,0,0
C1=CC=C(C(=C1)C(=O)O)C(=O)O,166.13,0.7,74.6,2,2,4,0,0
COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,458.6,6.0,42.3,8,1,5,0,0
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,300.26,1.7,96.2,2,3,6,0,0
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,202.25,4.9,0.0,0,0,0,0,0
CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC,310.4,4.0,29.5,2,1,2,0,0
C1=CC=C(C=C1)C2=CC=CC=C2,154.21,4.0,0.0,1,0,0,0,0
CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,234.34,2.3,32.299,5,1,2,0,0
CC1=CC(=CC=C1)O,108.14,2.0,20.2,0,1,1,0,0
C1=CC(=CC=C1C(=O)O)O,138.12,1.6,57.5,1,2,3,0,0
C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,336.3,2.6,93.1,2,2,6,0,0
C(C(C(C(C(CO)O)O)O)O)O,182.17,-3.1,121.0,5,6,6,0,0
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,610.5,-1.3,266.0,6,10,16,0,0
C(CO)O,62.07,-1.4,40.5,1,2,2,0,0
CC=C(C1=CC=C(C=C1)O)C(=CC)C2=CC=C(C=C2)O,266.3,5.4,40.5,3,2,2,0,0
C(CO)NCCO,105.14,-1.4,52.5,4,3,3,0,0
CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,413.4,2.7,75.7,4,0,8,0,0
NO,33.03,-1.2,46.2,0,2,2,0,0
C1=CC=C2C=C(C=CC2=C1)O,144.17,2.7,20.2,0,1,1,0,0
CC1=CC(=C(C=C1)O)C,122.16,2.3,20.2,0,1,1,0,0
C1=CC=C2C(=O)C=CC(=O)C2=C1,158.15,1.7,34.1,0,0,2,0,0
CC1=CC(=CC=C1)C,106.16,3.2,0.0,0,0,0,0,0
CCCCCCCCCCCCO,186.33,5.1,20.2,10,1,1,0,0
C1=COC=C1,68.07,1.3,13.1,0,0,1,0,0
C1CN2CC3=CCOC4CC(=O)N5C6C4C3CC2C61C7=CC=CC=C75,334.4,1.9,32.8,0,0,3,0,0
CCCCCC,86.18,3.9,0.0,3,0,0,0,0
CCCCCCCCCCCCCCO,214.39,6.2,20.2,12,1,1,0,0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,507.18,-5.7,279.0,8,7,17,0,0
CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,584.7,-1.7,207.0,4,8,12,0,0
C=CCO,58.08,0.2,20.2,1,1,1,0,0
CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,480.6,4.7,52.2,7,1,6,0,0
CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,354.5,2.7,98.0,12,4,5,0,0
C1=CC(=O)C=CC1=O,108.09,0.2,34.1,0,0,2,0,0
CCCCCCCCCCCCCCCCCCO,270.5,8.4,20.2,16,1,1,0,0
COC1=C(C=C(C=C1)CC=C)OC,178.23,2.5,18.5,4,0,2,0,0
CCN(CC)C(=O)C1=CC=CC(=C1)C,191.27,2.0,20.3,3,0,1,0,0
CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,299.4,1.1,41.9,1,1,4,0,0
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,303.35,2.3,55.8,5,0,5,0,0
C1=CC(=CC=C1[N+](=O)[O-])Cl,157.55,2.4,45.8,0,0,2,0,0
COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,317.3,2.8,121.0,5,0,7,0,0
CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,1255.4,3.8,356.0,8,5,18,0,0
C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,270.71,2.9,41.5,1,1,2,0,0
CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,330.5,2.9,54.4,2,1,3,0,0
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O,456.3,-2.6,202.0,7,6,10,0,0
CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,314.5,7.0,29.5,4,1,2,0,0
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,300.4,6.3,37.3,5,1,2,0,0
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,448.4,4.6,44.8,7,1,4,0,0
C1=NC2=C(N1COCCO)N=C(NC2=O)N,225.2,-1.9,115.0,4,3,5,0,0
C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,379.4,3.5,52.6,6,1,4,0,0
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,285.36,3.2,83.1,7,1,5,0,0
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,270.35,2.3,83.6,5,2,3,0,0
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,295.29,2.8,84.1,4,2,4,0,0
C1CCC(CC1)(CC(=O)O)CN,171.24,-1.1,63.3,3,2,3,0,0
CN1C=CNC1=S,114.17,-0.3,47.4,0,1,1,0,0
CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,416.6,2.9,85.7,2,0,5,0,0
COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,294.3,-2.7,119.0,8,3,6,0,0
C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,186.16,2.3,39.4,0,0,3,0,0
C1C(OC(S1)CO)N2C=CC(=NC2=O)N,229.26,-0.9,113.0,2,2,4,0,0
C1=COC(=C1)CNC2=NC=NC3=C2NC=N3,215.21,1.0,79.6,3,2,5,0,0
CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,352.8,2.2,71.1,3,0,6,0,0
CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,212.2,1.8,87.0,4,3,5,0,0
C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,406.9,7.5,40.5,2,2,2,0,0
C1=NC2=C(N1)C(=S)N=CN2,152.18,0.0,85.2,0,2,2,0,0
C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,320.0,6.2,0.0,3,0,0,0,0
CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C,270.28,3.4,48.7,3,0,4,0,0
C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,776.87,2.4,92.8,5,3,5,0,0
CN(C)C(=N)N=C(N)N,129.16,-1.3,91.5,2,3,1,0,0
CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC)C,298.37,3.1,46.2,1,0,5,0,0
C1C(C(C(C(N1CCO)CO)O)O)O,207.22,-2.6,104.0,3,5,6,0,0
C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,246.19,-1.2,99.1,2,3,6,0,0
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,277.4,5.0,3.2,3,0,1,0,0
C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N,273.19,-2.0,136.0,5,3,8,0,0
C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl,343.2,4.9,42.0,3,1,2,0,0
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,924.1,0.0,320.0,3,12,18,0,0
C1CC(OC1CO)N2C=CC(=NC2=O)N,211.22,-1.3,88.2,2,2,3,0,0
CC(C)(C)C1=C(C=CC(=C1)O)O,166.22,2.8,40.5,1,2,2,0,0
CC(C)(C(Cl)(Cl)Cl)O,177.45,2.0,20.2,0,1,1,0,0
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,324.4,3.2,36.3,5,0,4,0,0
C1N2CN3CN1CN(C2)C3,140.19,0.3,13.0,0,0,4,0,0
C(Cl)(Cl)Cl,119.37,2.3,0.0,0,0,0,0,0
CNC(=O)OC1=CC=CC2=CC=CC=C21,201.22,2.4,38.3,2,1,2,0,0
C1C2CNCC1C3=CC=CC(=O)N3C2,190.24,0.2,32.299,0,1,2,0,0
CCC(C1CCC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C(=O)O,751.0,5.7,161.0,12,4,11,0,0
C(Cl)Cl,84.93,1.5,0.0,0,0,0,0,0
CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,705.6,5.7,101.0,11,0,9,0,0
C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,505.4,0.1,178.0,13,6,2,0,0
CN1C(CCC1=O)C2=CN=CC=C2,176.21,-0.3,33.2,1,0,2,0,0
C1=CC(=CC=C1C(=O)NCC(=O)O)N,194.19,-0.9,92.4,3,3,4,0,0
CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,396.6,7.4,20.2,5,1,1,0,0
C1=NNC(=N1)N,84.08,-0.4,67.6,0,2,3,0,0
CC(C)(CO)C(C(=O)NCCC(=O)O)O,219.23,-1.1,107.0,6,4,5,0,0
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,464.4,0.4,207.0,4,8,12,0,0
CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O,330.5,3.2,54.4,1,1,3,0,0
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,337.5,-0.6,238.0,7,4,8,0,0
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,354.5,6.9,0.0,2,0,0,0,0
CC(CC1=CC=C(C=C1)OC)N,165.23,1.8,35.2,3,1,2,0,0
CC(=CCCC(=CCCC(=CCO)C)C)C,222.37,4.8,20.2,7,1,1,0,0
CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,450.7,10.9,34.1,14,0,2,0,0
CC(=O)N,59.07,-0.9,43.1,0,1,1,0,0
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,266.34,0.2,84.6,8,3,4,0,0
C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,297.7,-0.1,135.0,1,3,7,0,0
C1=CC(=CC(=C1)O)N,109.13,0.2,46.2,0,2,2,0,0
C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,437.1,4.5,104.0,2,1,11,0,0
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,278.34,4.7,52.6,10,0,4,0,0
CCOC(=O)N,89.09,-0.2,52.3,2,1,2,0,0
C1=CC=C(C=C1)C(=O)NCC(=O)O,179.17,0.3,66.4,3,2,3,0,0
CN(C)NC(=O)CCC(=O)O,160.17,-3.1,69.6,4,2,4,0,0
COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,228.24,3.6,46.5,3,1,3,0,0
CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,232.28,1.2,72.2,2,2,3,0,0
CC1=CC(=O)OC2=C1C=C3C=C(OC3=C2C)C,228.24,3.0,39.4,0,0,3,0,0
C1C2=CC=CC=C2C3=CC=CC=C31,166.22,4.2,0.0,0,0,0,0,0
C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,305.2,-0.5,66.6,8,2,4,0,0
CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,416.6,5.1,60.7,6,3,3,0,0
C(C(Cl)(Cl)Cl)(O)O,165.4,1.0,40.5,0,2,2,0,0
CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,217.31,3.1,21.3,2,1,2,0,0
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,318.9,5.2,31.8,4,0,3,0,0
C(C(=O)O)NCP(=O)(O)O,169.07,-4.6,107.0,4,4,6,0,0
COC(=O)NC1=NC2=CC=CC=C2N1,191.19,1.5,67.0,2,2,3,0,0
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,304.35,3.8,85.6,7,0,6,0,0
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,228.29,3.3,40.5,2,2,2,0,0
CC(C)OC1=CC=CC=C1OC(=O)NC,209.24,1.5,47.6,4,1,3,0,0
CNC(=O)CSP(=S)(OC)OC,229.3,0.8,105.0,5,1,5,0,0
CCCCC(=O)O,102.13,1.4,37.3,3,1,2,0,0
CCOC(=O)C1=CC=C(C=C1)O,166.17,2.5,46.5,3,1,3,0,0
CC=CC=CC(=O)O,112.13,1.3,37.3,2,1,2,0,0
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,252.3,6.0,0.0,0,0,0,0,0
CCC1=CC=CC=C1,106.16,3.1,0.0,1,0,0,0,0
C(CO)N(CCO)CCO,149.19,-1.0,63.9,6,3,4,0,0
C1(=NC(=NC(=N1)N)N)N,126.12,-1.4,117.0,0,3,6,0,0
CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,211.21,-1.9,104.0,3,4,5,0,0
CNCC(C1=CC(=CC=C1)O)O,167.2,-0.3,52.5,3,3,3,0,0
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O,376.4,-0.1,95.9,10,2,6,0,0
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,303.13,3.8,63.6,6,1,4,0,0
C=CC(=O)O,72.06,0.3,37.3,1,1,2,0,0
CCCCOCCO,118.17,0.8,29.5,5,1,2,0,0
C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl,252.72,2.2,77.6,2,0,4,0,0
CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,505.2,6.2,59.3,7,0,4,0,0
C(I)(I)I,393.732,2.7,0.0,0,0,0,0,0
CCCCCCC,100.2,4.4,0.0,4,0,0,0,0
C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O,327.4,2.1,70.0,2,2,5,0,0
CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C,283.79,3.1,29.5,6,0,2,0,0
C1CCC(CC1)NS(=O)(=O)O,179.24,0.6,74.8,2,2,4,0,0
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)OC(=O)C5=CC=CC=C5,376.5,4.5,46.5,3,1,3,0,0
CC1=C(C=CC(=C1)O)Cl,142.58,3.1,20.2,0,1,1,0,0
CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,266.4,4.9,15.3,4,1,2,0,0
